t,count
1386318178,66
1386318178,67
1386318179,68
1386318179,68
1386318179,69
1386319955,1
1386319956,1
1386319956,2
1386319956,3
1386320047,1
1386320048,1
1386320048,2
1386320048,3
1386320049,3
1386320086,1
1386320087,1
1386320087,2
1386320087,3
1386320088,3
1386320088,4
1386320088,5
1386320392,1
1386320393,1
1386320393,2
1386320393,3
1386320394,3
1386320394,4
1386320452,1
1386320452,1
1386320452,2
1386320453,3
1386320453,3
1386320453,4
1386322608,1
1386322608,1
1386322608,2
1386322609,3
1386322609,3
1386322609,4
1386322610,5
1386322610,5
1386322610,6
1386322611,7
1386323023,1
1386323023,1
1386323023,2
1386323024,3
1386323024,3
1386323024,4
1386323025,5
1386323105,1
1386323105,1
1386323105,2
1386323106,3
1386323106,3
1386323106,4
1386323107,5
1386323153,1
1386323154,1
1386323154,2
1386323154,3
1386323155,3
1386323155,4
1386323155,5
1386323156,5
1386323156,6
1386323156,7
1386323157,7
1386323157,8
1386323157,9
1386323158,9
1386323158,10
1386323158,11
1386323159,11
1386323159,12
1386323159,13
1386323160,13
1386323160,14
1386323192,1
1386323192,1
1386323192,2
1386323193,3
1386323193,3
1386323193,4
1386323193,1
1386323194,1
1386323194,5
1386323194,2
1386323194,5
1386323194,6
1386323194,3
1386323195,7
1386323195,7
1386323195,8
1386323199,1
1386323200,1
1386323200,2
1386324165,1
1386324165,1
1386324165,2
1386324166,3
1386324169,1
1386324207,1
1386324207,1
1386324207,2
